iter	Accuracy	MultiClass
93	0.68175	0.6941198179
94	0.68275	0.69352561
95	0.682625	0.693131272
96	0.682875	0.6929068219
97	0.683	0.692290719
98	0.682875	0.691863099
99	0.683125	0.691483115
100	0.683625	0.6910754074
101	0.683875	0.6907602576
102	0.68475	0.6897234566
103	0.6845	0.6891593463
104	0.685	0.6883833972
105	0.68525	0.6880057816
106	0.686	0.6871378425
107	0.68675	0.6866843802
108	0.686875	0.685869343
109	0.688125	0.6854811426
110	0.6885	0.6845318162
111	0.68925	0.6839473568
112	0.68975	0.6834839149
113	0.689875	0.6826835729
114	0.690375	0.6821100358
115	0.690625	0.681365835
116	0.691	0.6809862562
117	0.691	0.6803592063
118	0.693375	0.6792256526
119	0.693625	0.6786629776
120	0.694125	0.6778686897
121	0.694	0.6773764072
122	0.694875	0.6763978261
123	0.696	0.6756377456
124	0.696875	0.6747941603
125	0.69625	0.6744091365
126	0.69675	0.6738437453
127	0.69775	0.6735285328
128	0.6975	0.6730580966
129	0.698625	0.6727162485
130	0.699375	0.6715336767
131	0.70025	0.6710330769
132	0.7005	0.6705856396
133	0.7005	0.67024353
134	0.700125	0.669934887
135	0.70175	0.6694880541
136	0.702125	0.6691527394
137	0.703375	0.6687157626
138	0.703875	0.6680828709
139	0.704125	0.6674379657
140	0.7045	0.6668840838
141	0.705875	0.666152871
142	0.7065	0.6656604932
143	0.7065	0.6649408768
144	0.707375	0.6644467112
145	0.70775	0.6640600792
146	0.708	0.6637525844
147	0.70775	0.6629765364
148	0.7085	0.6624816554
149	0.7095	0.661825007
150	0.71	0.6613057925
151	0.710125	0.6609677673
152	0.71025	0.6600586876
153	0.7105	0.6595404475
154	0.71075	0.6589284329
155	0.7105	0.6583118423
156	0.711	0.6579204593
157	0.711125	0.6567913601
158	0.713	0.6560284335
159	0.713	0.6555857681
160	0.71275	0.6552445751
161	0.713875	0.6547266174
162	0.715	0.6544043978
163	0.715	0.653929701
164	0.7155	0.6533272835
165	0.71625	0.6528861347
166	0.717125	0.6523369917
167	0.71725	0.6521508837
168	0.71775	0.6512504116
169	0.717625	0.6506176343
170	0.71775	0.6502853882
171	0.71825	0.6493580872
172	0.719	0.6485298483
173	0.71875	0.6482425374
174	0.718875	0.6478601952
175	0.71875	0.6476985317
176	0.718875	0.6470145411
177	0.719375	0.6464635909
178	0.720625	0.6460981848
179	0.720625	0.6453651606
180	0.72075	0.6446497734
181	0.721625	0.6443021099
182	0.722375	0.6436789628
183	0.724	0.6426847361
184	0.724125	0.6423215132
185	0.723875	0.6420201359
186	0.72425	0.6415432579
187	0.725	0.6411332084
188	0.72525	0.6405511971
189	0.72575	0.6400515985
190	0.72675	0.6396463506
191	0.727	0.6393521344
192	0.727625	0.6389309422
193	0.727875	0.6385906239
194	0.72775	0.6384068957
195	0.728	0.6380902989
196	0.727375	0.6378318945
197	0.72825	0.6372515911
198	0.729875	0.6365328843
199	0.730375	0.6361572366
200	0.730625	0.6357548519
201	0.730625	0.6354710667
202	0.730625	0.6350351262
203	0.73075	0.6348081301
204	0.73175	0.6339677573
205	0.731625	0.6332051247
206	0.73225	0.6326704282
207	0.73275	0.6323993533
208	0.734	0.6314435974
209	0.7335	0.6310327557
210	0.733	0.6303368369
211	0.733875	0.6300294382
212	0.734125	0.6296616409
213	0.733625	0.6291366577
214	0.734375	0.6288795408
215	0.735	0.6286921531
216	0.736375	0.6282198593
217	0.737	0.6272730625
218	0.737	0.6265065381
219	0.73775	0.6259973691
220	0.738125	0.6252831959
221	0.73875	0.6247222926
222	0.738875	0.6244744299
223	0.739875	0.6238848271
224	0.73975	0.6233917644
225	0.74025	0.6229592071
226	0.740875	0.6225239446
227	0.7415	0.6222050734
228	0.741875	0.6217535541
229	0.74225	0.6212581566
230	0.742375	0.6208863286
231	0.744125	0.6202988279
232	0.744	0.6200044141
233	0.744125	0.6196032711
234	0.74325	0.6185752758
235	0.744	0.6180592958
236	0.743875	0.6175926285
237	0.74375	0.6172726079
238	0.743625	0.6169511198
239	0.745	0.616496689
240	0.745375	0.6160584773
241	0.74575	0.6158724845
242	0.746375	0.615108382
243	0.74825	0.6145397303
244	0.747375	0.6142060325
245	0.748	0.6137678684
246	0.748125	0.613395146
247	0.74825	0.6128051052
248	0.748125	0.6122798816
249	0.748875	0.6119894494
250	0.74925	0.6116903834
251	0.749625	0.6109482668
252	0.750625	0.6105068882
253	0.75125	0.6101956681
254	0.75125	0.6098547363
255	0.752125	0.6092086986
256	0.752	0.6089178931
257	0.75275	0.6083163094
258	0.75325	0.607736099
259	0.753375	0.6074847783
260	0.75375	0.6068610564
261	0.75425	0.6062771903
262	0.754875	0.6060846129
263	0.754375	0.6057890945
264	0.754375	0.6055310855
265	0.75425	0.6051571994
